0.104343561,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,1,5,7,0.424285714,0.88,0.2
-0.199180173,0,0,0,0,2,0,7,4,0,0,0,0,0,0,0,1,13,13,0.421538462,0.897692308,-0.5
-0.23745254,0,0,0,0,1,0,7,2,0,1,0,0,0,0,0,1,6,9,0.411111111,0.833333333,-0.1
-0.201702704,0,0,0,0,4,0,8,1,0,2,0,1,0,0,0,1,10,14,0.375714286,0.845,-0.6
-0.227058481,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,1,7,5,0.39,0.834285714,-0.3
-0.253008021,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,5,8,0.4225,0.734,0
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0.436666667,0.92,0
-0.231702083,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,1,4,7,0.364285714,0.9075,-0.5
-0.126504011,0,0,1,1,0,0,3,0,0,0,0,0,0,0,1,1,3,5,0.432,0.926666667,-0.3
-0.136235088,0,0,1,1,1,0,8,4,0,0,0,0,0,0,0,1,13,10,0.448,0.835384615,-0.3
-0.098392008,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,3,0.436666667,0.896666667,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,4,5,0.386,0.9025,0.3
0.126504011,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,4,5,0.428,0.8775,-0.4
-0.194621555,0,0,0,0,1,0,9,2,0,0,0,0,0,0,0,1,11,10,0.359,0.834545455,-0.7
-0.151629953,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,1,5,7,0.425714286,0.784,0
-0.137532565,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,1,11,10,0.408,0.844545455,-0.4
-0.247257839,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,10,5,0.426,0.863,-0.7
-0.195506198,0,0,0,0,1,0,4,1,0,0,0,1,0,0,0,1,5,6,0.455,0.904,-1
-0.217165218,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,1,7,4,0.4525,0.764285714,-0.8
-0.222340382,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,3,0.436666667,0.885,-0.4
-0.143371212,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,1,9,8,0.4375,0.886666667,-0.5
-0.253008021,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,1,10,9,0.372222222,0.876,-0.5
0.00538952,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,1,9,8,0.4725,0.866666667,0.3
-0.221382019,0,0,0,0,0,0,2,3,4,0,0,0,0,0,0,1,9,7,0.335714286,0.798888889,-1
-0.11244801,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,6,4,0.415,0.896666667,-0.3
-0.197970562,0,0,0,0,0,0,5,4,3,0,0,0,0,1,0,1,5,6,0.426666667,0.79,-1
